Name,ID,Quote,Description,Quality
Champion Belt,5.100.208,DMG + challenge up,+1 damage. Increases the chance of champion enemies appearing by 15%.,3
Charm of the Vampire,5.100.62,DMG up + kills heal,Heals Isaac for a   Half Red Heart for every 13 enemies killed.  +0.3 damage.,1
Chemical Peel,5.100.154,DMG up,Tears fired from the left eye have +2 flat damage.,2
Chocolate Milk,5.100.69,Charge shots,Grants charged tears that deal greater damage when fully charged.,3
Contract From Below,5.100.241,Wealth... but at what cost?,"Doubles the number of most room clear awards, but reduces the overall chance of getting one by 1/3.",3
Cricket's Body,5.100.224,Bursting shots + tears up,"When tears hit an object or deplete their range, they spawn 4 smaller tears, whose range and damage scale with Isaac's.  Grants -1 tear delay and reduces range.  Grants +0.5 fire rate and reduces range.",3
Cricket's Head,5.100.4,DMG up,"Increases Damage by 0.5, and increases damage multiplier by x1.5.",4
Cube of Meat,5.100.73,Gotta meat 'em all!,"Creates an orbital familiar. Collecting additional copies gives it the ability to shoot tears, then chase enemies to deal contact damage, then deal even more contact damage.",2
Cupid's Arrow,5.100.48,Piercing shots,Grants Isaac piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them.,3
Cursed Eye,5.100.316,Cursed charge shot,Grants charged tears that can be fired in a tight burst. Getting hit while charging will teleport Isaac to another room.,0
Daddy Longlegs,5.100.170,Daddy's love,Daddy Long Legs' shadow follows Isaac and occasionally stomps enemies for 40 damage total.,3
Dark Bum,5.100.278,He wants to take your life,"Spawns a familiar that follows Isaac around and collects   Red Hearts. For every 1½ Red Hearts collected, Dark Bum will give a reward.",3
Dark Matter,5.100.259,DMG up + fear shot,"+1 damage, adds a chance to shoot fear tears.",3
Dead Bird,5.100.117,Protective buddy,"After Isaac takes damage, spawns a flying familiar that chases enemies for the current room, dealing ~4 damage per second.",0
Dead Cat,5.100.81,9 lives,"Sets Isaac's Red Heart Containers to 1, but grants 9 extra lives. After dying, Isaac respawns with 1 Red Heart Container.",3
Dead Dove,5.100.185,Flight + spectral tears,Grants spectral tears and flight.,3
Dead Onion,5.100.336,Toxic aura tears,Grants piercing and spectral tears. Increases tear size (without increasing damage) while greatly reducing range and shot speed.,3
Death's Touch,5.100.237,Piercing shots + DMG up,"+1.5 damage, -0.3 tears. Tears are replaced with large piercing scythes.",3
Demon Baby,5.100.113,Auto-turret friend,Spawns a familiar that follows Isaac and automatically fires at enemies in its reach.,2
Dessert,5.100.24,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Dinner,5.100.23,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Distant Admiration,5.100.57,Attack fly,"Spawns an attack fly that circles further out than  Halo of Flies, but closer than  Forever Alone, dealing 75 damage per second.",2
Dr. Fetus,5.100.52,???,Tears are replaced by  Bombs that benefit from bomb-enhancing effects and slide for a fixed time after being fired.,4
Dry Baby,5.100.265,Immortal friend,"Spawns a familiar that follows Isaac around and blocks enemy projectiles. Upon blocking a shot, it has a chance of triggering  The Necronomicon effect.",3
E. Coli,5.100.236,Turdy touch,Enemies that touch Isaac are transformed into   Poop.,1
Epic Fetus,5.100.168,On-demand air strike,"Isaac's tears are replaced with guided missiles, like those used by the  Doctor's Remote.",4
Eve's Mascara,5.100.310,"DMG up, tears + shot speed down","Doubles damage, halves tears stat, and greatly reduces shot speed.  Doubles damage, 0.66x tears multiplier, and greatly reduces shot speed.",3
Experimental Treatment,5.100.240,"Some stats up, some stats down",Randomly increases and decreases some of Isaac's stats. Increases four random stats and decreases the other two.,1
Fanny Pack,5.100.204,Filled with goodies,Has a chance to drop a random pickup when Isaac takes damage.,1
Fate,5.100.179,Flight eternal,Grants flight and one   Eternal Heart.,3
Fire Mind,5.100.257,Flaming tears,"Grants flaming tears that deal burning damage over time. Tears have a chance to explode on impact with an enemy, which creates a fire at the location of the explosion.",2
Forever Alone,5.100.128,Attack fly,"Spawns an attack fly that orbits a long distance from Isaac, dealing 30 damage per second.",1
Gemini,5.100.318,Conjoined friend,"Spawns a conjoined familiar which chases enemies close to Isaac, dealing ~8 damage per second.",1
Ghost Baby,5.100.163,Spectral buddy,Spawns a familiar that follows Isaac around and fires spectral tears.,1
Gimpy,5.100.225,Sweet suffering,Gives chance of spawning a   Soul Heart when taking damage. Enemies have a chance to drop a   Half Red Heart after being killed.,2
Gnawed Leaf,5.100.210,Unbreakable,"After standing still and not shooting for a short time, Isaac turns invincible until he moves or shoots.",1
Goat Head,5.100.215,He accepts your offering,"A  Devil Room /  Angel Room will always spawn after every boss fight, excluding the first floor and floors after Chapter 4.",3
Godhead,5.100.331,God tears,"Grants homing tears with a damaging halo. +0.5 Damage, -0.3 Tears -0.3 Shot Speed, +0.8 Tear Falling Speed, and +1.2 Range. Grants homing tears with a damaging halo. +0.5 Damage, -0.3 Tears, and -0.3 Shot Speed.",4
Growth Hormones,5.100.70,Speed + DMG up,"+1 damage, +0.4 speed. +1 damage, +0.2 speed.",3
Guardian Angel,5.100.112,Extra protection,"Spawns an orbital familiar that blocks enemy shots, deals 105 damage per second to enemies, and increases the speed of all orbital familiars. Spawns an orbital familiar that blocks enemy shots, deals 53 damage per second to enemies, and increases the speed of all orbital familiars.",2
Guillotine,5.100.206,DMG + tears up. An out-of-body experience!,Isaac's head is removed from his body and floats around him as an orbital.  Gives +1 damage and grants -1 tear delay.  Gives +1 damage and grants +0.5 fire rate.,2
Guppy's Collar,5.100.212,Eternal life?,Grants a permanent 50% chance to respawn with 1/2 of a   Red Heart after death.,1
Guppy's Hair Ball,5.100.187,Swing it,"Spawns a familiar that loosely follows behind Isaac, which blocks shots can be swung like a flail to damage enemies. Grows bigger by killing enemies.",1
Guppy's Tail,5.100.134,Cursed?,Room Clear Awards have a 1/3 chance of being replaced with a   Chest and a 2/9 chance being replaced with nothing.,2
Habit,5.100.156,Item martyr,"When Isaac is hit, his active item gains 1 room's worth of charge.",2
Halo of Flies,5.100.10,Projectile protection,Spawns two Pretty Flies that block enemy shots and deal contact damage to flies.,2
Harlequin Baby,5.100.167,Double shot buddy,Spawns a familiar that follows Isaac around and fires two tears at once in a V-pattern.,1
Headless Baby,5.100.269,Bloody friend,"Spawns a familiar that follows Isaac, leaving blood creep on the ground.",1
Hive Mind,5.100.248,Giant spiders and flies,Increases the size of Blue Spiders and Blue Flies and doubles the amount of damage they deal.  Also increases the effectiveness of fly and spider familiars.,2
Holy Grail,5.100.184,Flight + HP up,Grants flight and one Red Heart container.  Heals 1 additional   Red Heart.,3
Holy Mantle,5.100.313,Holy shield,"Grants a shield that negates the first instance of damage taken, once per room. Does not apply to or negate self-damage ( Blood Donation Machines, etc).",4
Holy Water,5.100.178,Splash!,"Spawns a bottle familiar that breaks when Isaac takes damage, leaving a puddle of blue creep. A bottle familiar that flies forward when Isaac shoots. It breaks upon hitting an enemy, leaving a puddle of blue creep that petrifies enemies.",3
Hot Bombs,5.100.256,Burning blast +5 bombs,+5   Bombs. Isaac's bombs leave behind fire that damages enemies upon contact.,1
Humbling Bundle,5.100.203,1+1 free 4Evar,"Transforms   Bombs,   Keys,   Pennies, and   Red Hearts into their respective Double versions.  This will occur 50% of the time.",3
Infamy,5.100.242,Blocks damage... sometimes,Gives Isaac a 50% chance to block projectiles coming from any direction.,2
Infestation,5.100.148,Fly revenge,1-3 Blue Flies randomly spawn every time Isaac gets hit. 2-6 Blue Flies randomly spawn every time Isaac gets hit.,0
Infestation 2,5.100.234,Infestation shot,Spawns allied Blue Spiders from killed enemies.,3
Ipecac,5.100.149,Explosive shots,Replaces tears with explosive and poisoning projectiles fired in an arc from the mouth.,4
Iron Bar,5.100.201,DMG up + concussive tears,"Increases damage by 0.3 and adds a chance to shoot concussive tears, causing enemies to walk around randomly.",2
Isaac's Heart,5.100.276,Protect it,"Isaac himself is now immune to all damage, and a heart familiar follows him. If the heart is hurt, Isaac is hurt.  The heart charges up as Isaac shoots, firing 8 blood shots, knocking back enemies, and leaving a puddle of creep when released.",0
Jesus Juice,5.100.197,Damage + range up,"+0.5 damage, +0.25 range, +0.5 tear falling speed. +0.5 damage, +1.5 range.",2
Judas' Shadow,5.100.311,Sweet revenge,"Upon death, respawns Isaac as   Dark Judas with two   Black Hearts in the previous room.",3
Juicy Sack,5.100.266,Sticky babies,"Spawns a familiar that follows Isaac and drips a trail of slow creep, spawning 1-2 Blue Spiders after each room.",2
Key Piece 1,5.100.238,???,"Combined with  Key Piece 2, unlocks the golden gate in the starting room of  Chest and  Dark Room to fight   Mega Satan.",0
Key Piece 2,5.100.239,???,"Combined with  Key Piece 1, unlocks the golden gate in the starting room of  Chest and  Dark Room to fight   Mega Satan.",0
Latch Key,5.100.343,Luck up,Grants 1   Soul Heart and +1 luck. Spawns 2   Keys.,1
Lazarus' Rags,5.100.332,Eternal life?,"Upon dying, resurrect as   Lazarus Risen in the current room with one Red Heart container and  Anemic. Upon dying, resurrect as   Lazarus Risen in the current room with one less Red Heart container (but no less than 1),  Anemic, and a permanent +0.5 Damage up. Going to the next floor reverts him back into   Lazarus, with his inherent extra life effect.",1
Leech,5.100.270,Blood sucker,"Spawns a leech familiar that chases enemies, dealing ~3 damage per second. Heals a   Half Red Heart whenever Leech kills an enemy.",2
Leo,5.100.302,Stompy,Isaac can destroy rocks by walking into them.,1
Libra,5.100.304,You feel balanced,"Gives 6   Coins, 6   Bombs, and 6   Keys and balances out all attributes.",1
Lil Brimstone,5.100.275,Evil friend,Grants a familiar that charges a thin  Brimstone laser while Isaac is shooting.,2
Lil Haunt,5.100.277,Fear him,"Spawns a familiar that chases down enemies, dealing 4 damage per second and inflicting fear.",1
Little Baggy,5.100.252,Extra pill room,Isaac can hold 2 pills at once and all cards and runes are replaced by pills.,0
Little C.H.A.D.,5.100.96,Gives kisses,Spawns a familiar who drops a   Half Red Heart every 3 rooms.,2
Little Chubby,5.100.88,Attack buddy,Spawns a   Charger familiar that charges forward and deals contact damage to any enemies in its path.,2
Little Gish,5.100.99,Sticky friend,"Spawns a familiar that follows Isaac around and fires slowing tears, impeding enemies' speed.",2
Little Steven,5.100.100,Psychic friend,Spawns a familiar who follows Isaac around and fires homing tears.,2
Loki's Horns,5.100.87,Cross tears,Gives a random chance for projectiles to fire in all 4 cardinal directions.,1
Lord of the Pit,5.100.82,Demon wings,Grants flight and +0.3 speed.,3
Lost Contact,5.100.213,Shielded tears,Isaac's tears can hit and destroy enemy projectiles. -0.15 shot speed.,2
Lucky Foot,5.100.46,Luck up,"+1 luck. Improves Isaac's chances at various random events (independent from the luck stat).  Converts all bad pills into good pills, without identifying them.",2
Lunch,5.100.22,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Maggy's Bow,5.100.312,HP up + you feel healthy,Gives one Red Heart Container and doubles the healing provided by   Red Hearts.  Also heals 1 Red Heart when obtained.,2
Magic 8 Ball,5.100.194,Shot speed up,"+0.16 shot speed, spawns a random tarot card.  Increases the chance of finding a  Planetarium.",1
Magic Mushroom,5.100.12,All stats up!,"Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +5.25 Range, and +0.3 Speed, and restores all Health. Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +2.5 Range, and +0.3 Speed, and restores all Health.",4
Magic Scab,5.100.253,HP + luck up,"Grants one full Red Heart container, +1 luck.  Heals 1 additional   Red Heart.",2
Magneto,5.100.53,Item snatcher,Pulls pickups towards Isaac.,1
Match Book,5.100.344,Evil up,"Grants Isaac one   Black Heart, spawns two or three   Bombs.",1
MEAT!,5.100.193,DMG + HP up,"Grants one full Red Heart container, +0.3 damage.  Heals 1 additional   Red Heart",2
Midas' Touch,5.100.202,Golden touch,Enemies that touch Isaac are temporarily petrified and turn to gold. Any enemy killed while in this state will drop   Pennies.,2
Mini Mush,5.100.71,Speed + range up,"Decreases Isaac's size, making him less likely to be hit. +0.3 speed, +1.5 tear falling speed, -4.25 range (effective range is increased).  +0.3 speed, +2.5 range.",2
Missing No.,5.100.258,Syntax error,Randomizes all passive items and stats upon pickup and at the start of each succeeding floor.,0
Missing Page 2,5.100.262,Evil up. Your enemies will pay!,"Grants one   Black Heart. Upon taking damage that reduces Isaac's health to one heart or less, deals damage to all enemies in the room.  Increases the damage of   Black Hearts and  The Necronomicon-like effects by 40.",0
Mitre,5.100.173,Blessing of purity,Grants a chance of converting any   Red Heart pickups into   Soul Hearts instead.,3
Mom's Coin Purse,5.100.195,What's all this...?,Spawns 4 random pills near Isaac.,1
Mom's Contacts,5.100.110,Freeze effect,"Adds a chance to shoot petrifying tears, which stop enemies in place and prevent them from moving or attacking.  +0.25 range.  +1.5 range.",3
Mom's Eye,5.100.55,Eye in the back of your head,Gives Isaac a chance to fire tears from the back of his head.,1
Mom's Eyeshadow,5.100.200,Charm tears,Tears have a chance to charm enemies.,1
Mom's Heels,5.100.30,Range up,"+5.25 range, +0.5 tear falling speed. +2.5 range, enemies that touch Isaac take 12 damage.",1
Mom's Key,5.100.199,Better chest loot +2 keys,Adds 2 keys.   Chests will drop additional pickups.,3
Mom's Knife,5.100.114,Stab stab stab,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power.",4
Mom's Lipstick,5.100.31,Range up,"+5.25 range, +0.5 tear falling speed. +3.75 range. Spawns a   Heart on pickup.",1
Mom's Perfume,5.100.228,Fear shot + tears up,Adds a chance to shoot fear tears.  Decreases tear delay by 1.  +0.5 fire rate.,2
Mom's Purse,5.100.139,More trinket room,Allows Isaac to hold one additional trinket.  Drops a random trinket.,2
Mom's Underwear,5.100.29,Range up,"+5.25 range, +0.5 tear falling speed. +2.5 range. Spawns 3-6 Blue Flies on pickup.",1
Mom's Wig,5.100.217,You feel itchy...,Adds a chance to spawn Blue Spiders when firing tears. Restores 1   Red Heart.,2
Money = Power,5.100.109,$$$ = DMG,"Increases damage by 0.04 for every   coin Isaac has, up to +3.96 damage at 99 coins.",3
Mongo Baby,5.100.322,Mongo friend,Spawns a familiar that copies the tears of Isaac's other familiars.,2
Monstro's Lung,5.100.229,Charged burst attack,Replaces normal tears with a charged shot that fires 14 tears in the same fashion as   Monstro.,2
Mr. Mega,5.100.106,Bigger boom,"+5   Bombs. Increases the size, blast radius, and damage of Isaac's bombs.",2
Mutant Spider,5.100.153,Quad shot,Grants quadruple shot but decreases Tears.,3
My Reflection,5.100.5,Boomerang tears + DMG up + luck down,"Gives Isaac's tears a boomerang effect.  +1.5 range, +1 tear falling speed, x1.6 shot speed multiplier.  2x + 1.5 range, +1.5 damage, -1 luck, 1.6x shot speed multiplier.",2
Mysterious Liquid,5.100.317,Toxic splash damage,"Tears leave a small, short lasting pool of creep on impact or when their range is depleted.",3
Mystery Sack,5.100.271,?,"Spawns a familiar that drops a Heart, coin,   Bomb, or   Key every 5-6 rooms.",2
Number One,5.100.6,Tears up + range down,"Grants +1.5 tears, but severely reduces range.",2
Odd Mushroom,5.100.121,"HP + DMG up, speed down","Grants one empty Heart container, +0.3 damage, +0.25 range, +0.5 tear falling speed, and -0.1 speed.  Grants one full Heart container, +1 damage, +1.5 range, and -0.2 speed",2
Odd Mushroom,5.100.120,"Tears + speed up, DMG down","+1.7 tears, +0.3 speed, slightly reduces damage.",2
Old Bandage,5.100.219,HP up,Grants an empty Red Heart container. Adds a chance of dropping a   Red Heart after taking damage.,2
Ouija Board,5.100.115,Spectral tears + tears up,Grants spectral tears that travel through obstacles (but not enemies).  +0.5 tears.,2
Pageant Boy,5.100.141,Ultimate grand supreme,Spawns seven random coins around Isaac.,0
Pentagram,5.100.51,DMG up,"+1 damage, increases  Devil Room /  Angel Room chance by 10%.",3
PHD,5.100.75,Better pills,"Converts all bad pills into good pills, spawns one pill pickup, and identifies all pills. Restores two   Red Hearts and increases the payout of  Blood Donation Machines.",2
Piggy Bank,5.100.227,My life savings,"Gives 3   Pennies on pick-up. Every time Isaac is damaged, he will drop one or two additional pennies.",1
Pisces,5.100.309,Tears up + knock-back shots,"-1 Tear Delay, adds knock-back shots and increases tear size. +0.5 Fire Rate, adds knock-back shots and increases tear size.",2
Placenta,5.100.218,Regeneration + HP up,"Grants one full Red Heart container, and a chance to regenerate a   Half Red Heart of health every minute of gameplay.",2
Polyphemus,5.100.169,Mega tears,"Isaac fires huge tears that deal massive damage, but fire rate is greatly decreased. If a tear kills an enemy, it travels on with any leftover damage.",4
Proptosis,5.100.261,Short range mega tears,"Tears start out massive with high damage, and then shrink down and become weaker over a short range.",3
Punching Bag,5.100.281,Scape goat,Spawns a   Mulligan familiar that wanders randomly. Enemies will attack the Mulligan if it's closer.,1
Pyro,5.100.190,99 bombs,Grants 99   Bombs.,3
Pyromaniac,5.100.223,It hurts so good +5 bombs,+5 bombs. Grants immunity to explosion damage and causes explosions to heal Isaac.  Also grants immunity to fire.,4
Rainbow Baby,5.100.174,Random buddy,Spawns a familiar that follows Isaac around and fires tears with random effects.,1
Raw Liver,5.100.16,HP up,Grants 2 Red Heart containers and completely restores health.,2
Robo-Baby,5.100.95,Friends 'till the bbbbzzzt,Spawns a familiar that shoots  Technology lasers.,1
Robo-Baby 2.0,5.100.267,We worked out all the kinks,Spawns a familiar that fires lasers at any enemy in its line of sight and moves based on the direction Isaac is firing tears.,1
Roid Rage,5.100.14,Speed and range up,"+0.6 speed, +5.25 range, +0.5 tear falling speed. +0.3 speed, +2.5 range",2
Rosary,5.100.72,Tears + faith up,Grants 3   Soul Hearts. Causes  The Bible to appear in any item pool.  +0.5 tears.,2
Rotten Baby,5.100.268,Infested friend,Spawns a familiar that spawns a Blue Fly when Isaac shoots. It can only have one Fly at a time.,3
Rotten Meat,5.100.26,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,1
Rubber Cement,5.100.221,Bouncing tears,"Tears bounce off walls, enemies, and environmental objects.",3
Sack of Pennies,5.100.94,Gives money,Spawns a familiar that drops a   coin every 2 rooms.,1
Sacred Heart,5.100.182,Homing shots + DMG up,"Adds a Red Heart Container. Grants homing tears, a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears, -0.25 Shot Speed, and +4.125 Range. Adds a Red Heart Container. Grants homing tears, a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears, and -0.25 Shot Speed.",4
Sacrificial Dagger,5.100.172,My fate protects me,"Spawns a dagger orbital familiar, blocking enemy shots and dealing a high amount of damage to enemies in contact.",2
Sad Bombs,5.100.220,Tear blasts +5 bombs,"+5   Bombs. Upon exploding, bombs shoot 10 tears around them, affected by tear modifiers.",2
Safety Pin,5.100.339,Evil + range + shot speed up,"Grants one   Black Heart, +5.25 range, +0.5 tear falling speed, +0.16 shot speed. Grants one   Black Heart, +2.5 range, +0.16 shot speed.",1
Sagittarius,5.100.306,Piercing shots + speed up,Increases speed by +0.2 and grants piercing tears.,3
Samson's Chains,5.100.321,The ol' ball and chain,"Attaches a ball and chain to Isaac that pulls behind him that damages enemies, blocks shots, and destroys most Obstacles.",1
Scapular,5.100.142,Pray for a miracle,"Once per room, when Isaac is reduced to his last half heart, he is granted one   Soul Heart.",2
Scorpio,5.100.305,Poison tears,"Grants poison tears, which deal damage over time when inflicted.",3
Screw,5.100.255,Tears + shot speed up,"+0.5 tears, +0.2 shot speed.",3
Sharp Plug,5.100.205,Infinite charge... at a cost,Damages Isaac in exchange for fully recharging Isaac's current activated item.,2
Sissy Longlegs,5.100.280,She loves you,"Spawns a familiar that wanders randomly, occasionally spawning Blue Spiders.",1
Sister Maggy,5.100.67,Friends 'till the end,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. Spawns a familiar that follows Isaac around shooting tears that deal 6 damage.,1
Skatole,5.100.9,Fly love,Flies become harmless or less dangerous depending on the type.,0
Skeleton Key,5.100.17,99 keys,Gives Isaac 99   Keys.,3
Smart Fly,5.100.264,Revenge fly,"Spawns an orbital familiar that blocks enemy shots. Upon taking damage, the familiar will pursue enemies for the rest of the room, dealing 22.5 damage per second.",2
SMB Super Fan,5.100.189,All stats up,"+1 Red Heart container, +0.3 damage, +0.2 tears, +0.2 speed, +0.5 range, +1 tear falling speed. Fully restores all red hearts. +1 Red Heart container, +0.3 damage, +0.2 tears, +0.2 speed, +2.5 range. Fully restores all red hearts.",3
Soy Milk,5.100.330,DMG down + tears way up,"Tears are smaller and do much less damage, but fire in very rapid succession.",2
Speed Ball,5.100.143,Speed + shot speed up,"+0.3 speed, +0.2 shot speed.",2
Spelunker Hat,5.100.91,See-through doors,"Reveals type of adjacent rooms, including location for  Secret Rooms and  Super Secret Rooms.  Reveals rooms up to 2 rooms away and blocks projectiles falling from above.",2
Spider Bite,5.100.89,Slow effect,"Adds a chance to shoot slowing tears, reducing speed of enemy movement and any projectile fired by them.",2
